crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,day_of_week,month,is_weekend,year
2023-11-01,1,BROOKLYN,11230.0,40.62179,-73.970024,"
,  
(40.62179, -73.970024)",OCEAN PARKWAY,AVENUE K,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4675373,Moped,Sedan,Wednesday,November,0,2023
2021-09-11,9,BROOKLYN,11208.0,40.667202,-73.8665,"
,  
(40.667202, -73.8665)",Unknown,Unknown,1211      LORING AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unknown,4456314,Sedan,Unknown,Saturday,September,1,2021
2021-12-14,8,BROOKLYN,11233.0,40.683304,-73.917274,"
,  
(40.683304, -73.917274)",SARATOGA AVENUE,DECATUR STREET,Unknown,0,0,0,0,0,0,0,0,Unknown,Unknown,4486609,Unknown,Unknown,Tuesday,December,0,2021
2021-12-14,17,BROOKLYN,11207.0,40.709183,-73.956825,"
,  
(40.709183, -73.956825)",BROOKLYN QUEENS EXPRESSWAY,Unknown,Unknown,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486555,Sedan,Tractor Truck Diesel,Tuesday,December,0,2021
2021-12-14,8,BRONX,10475.0,40.86816,-73.83148,"
,  
(40.86816, -73.83148)",Unknown,Unknown,344       BAYCHESTER AVENUE,2,0,0,0,0,0,2,0,Unspecified,Unspecified,4486660,Sedan,Sedan,Tuesday,December,0,2021
2021-12-14,21,BROOKLYN,11207.0,40.67172,-73.8971,"
,  
(40.67172, -73.8971)",Unknown,Unknown,2047      PITKIN AVENUE,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4487074,Sedan,Unknown,Tuesday,December,0,2021
2021-12-14,14,MANHATTAN,10017.0,40.75144,-73.97397,"
,  
(40.75144, -73.97397)",3 AVENUE,EAST 43 STREET,Unknown,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486519,Sedan,Station Wagon/Sport Utility Vehicle,Tuesday,December,0,2021
2021-12-13,0,BROOKLYN,11207.0,40.701275,-73.88887,"
,  
(40.701275, -73.88887)",MYRTLE AVENUE,Unknown,Unknown,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4486934,Station Wagon/Sport Utility Vehicle,Unknown,Monday,December,0,2021
2021-12-14,16,QUEENS,11413.0,40.675884,-73.75577,"
,  
(40.675884, -73.75577)",SPRINGFIELD BOULEVARD,EAST GATE PLAZA,Unknown,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,4487127,Sedan,Station Wagon/Sport Utility Vehicle,Tuesday,December,0,2021
2021-12-14,0,BROOKLYN,11207.0,40.59662,-74.00231,"
,  
(40.59662, -74.00231)",BELT PARKWAY,Unknown,Unknown,0,0,0,0,0,0,0,0,Unsafe Speed,Unknown,4486564,Sedan,Unknown,Tuesday,December,0,2021
2021-12-14,23,QUEENS,11434.0,40.66684,-73.78941,"
,  
(40.66684, -73.78941)",NORTH CONDUIT AVENUE,150 STREET,Unknown,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,4486635,Sedan,Sedan,Tuesday,December,0,2021
2021-12-14,17,BROOKLYN,11217.0,40.68158,-73.97463,"
,  
(40.68158, -73.97463)",Unknown,Unknown,480       DEAN STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486604,Tanker,Station Wagon/Sport Utility Vehicle,Tuesday,December,0,2021
2021-12-14,20,BROOKLYN,11226.0,40.65068,-73.95881,"
,  
(40.65068, -73.95881)",Unknown,Unknown,878       FLATBUSH AVENUE,4,0,0,0,0,0,4,0,Steering Failure,Unknown,4486991,Sedan,Unknown,Tuesday,December,0,2021
2021-12-11,19,BRONX,10463.0,40.87262,-73.904686,"
,  
(40.87262, -73.904686)",WEST KINGSBRIDGE ROAD,HEATH AVENUE,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4487040,Station Wagon/Sport Utility Vehicle,Sedan,Saturday,December,1,2021
2021-12-14,14,BROOKLYN,11207.0,40.783268,-73.82485,"
,  
(40.783268, -73.82485)",WHITESTONE EXPRESSWAY,Unknown,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4486537,Station Wagon/Sport Utility Vehicle,Sedan,Tuesday,December,0,2021
2021-12-11,4,MANHATTAN,10001.0,40.748917,-73.993546,"
,  
(40.748917, -73.993546)",Unknown,Unknown,232       WEST 30 STREET,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4486905,Station Wagon/Sport Utility Vehicle,Unknown,Saturday,December,1,2021
2021-12-14,5,BROOKLYN,11207.0,40.744644,-73.77041,"
,  
(40.744644, -73.77041)",LONG ISLAND EXPRESSWAY,Unknown,Unknown,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,4487122,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Tuesday,December,0,2021
2021-12-13,6,QUEENS,11372.0,40.75373,-73.88505,"
,  
(40.75373, -73.88505)",82 STREET,34 AVENUE,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unknown,4486967,Sedan,Unknown,Monday,December,0,2021
2021-12-14,3,BROOKLYN,11207.0,40.804375,-73.93742,"
,  
(40.804375, -73.93742)",LEXINGTON AVENUE,Unknown,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unknown,4486304,Station Wagon/Sport Utility Vehicle,Unknown,Tuesday,December,0,2021
2021-12-13,17,STATEN ISLAND,10301.0,40.63165,-74.08762,"
,  
(40.63165, -74.08762)",VICTORY BOULEVARD,WOODSTOCK AVENUE,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4487001,Sedan,Sedan,Monday,December,0,2021
2021-12-14,17,BROOKLYN,11230.0,40.623104,-73.95809,"
,  
(40.623104, -73.95809)",EAST 18 STREET,AVENUE K,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unknown,4486516,Sedan,Unknown,Tuesday,December,0,2021
2021-12-14,20,BROOKLYN,11215.0,40.66576,-73.9845,"
,  
(40.66576, -73.9845)",Unknown,Unknown,366       12 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486605,Sedan,Unknown,Tuesday,December,0,2021
2021-12-14,12,BROOKLYN,11217.0,40.687534,-73.9775,"
,  
(40.687534, -73.9775)",FULTON STREET,SAINT FELIX STREET,Unknown,1,0,0,0,1,0,0,0,Unspecified,Unspecified,4487052,Sedan,Bike,Tuesday,December,0,2021
2021-12-14,17,BROOKLYN,11211.0,40.710957,-73.951126,"
,  
(40.710957, -73.951126)",GRAND STREET,UNION AVENUE,Unknown,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,4486556,Bus,Station Wagon/Sport Utility Vehicle,Tuesday,December,0,2021
2021-12-14,22,BRONX,10455.0,40.81813,-73.910126,"
,  
(40.81813, -73.910126)",Unknown,Unknown,713       EAGLE AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4486875,Taxi,Unknown,Tuesday,December,0,2021
2021-12-12,9,QUEENS,11385.0,40.70447,-73.90148,"
,  
(40.70447, -73.90148)",Unknown,Unknown,59-14     67 AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486933,Station Wagon/Sport Utility Vehicle,Unknown,Sunday,December,1,2021
2021-12-14,16,BROOKLYN,11207.0,40.784615,-73.953964,"
,  
(40.784615, -73.953964)",EAST 93 STREET,Unknown,Unknown,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4486581,Van,Bike,Tuesday,December,0,2021
2022-09-22,16,QUEENS,11418.0,40.698257,-73.82632,"
,  
(40.698257, -73.82632)",123 STREET,89 AVENUE,Unknown,1,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4566408,Sedan,E-Scooter,Thursday,September,0,2022
2022-07-12,17,BROOKLYN,11225.0,40.663303,-73.96049,"
,  
(40.663303, -73.96049)",Unknown,Unknown,44        EMPIRE BOULEVARD,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,4545699,Sedan,Unknown,Tuesday,July,0,2022
2021-07-09,0,BROOKLYN,11207.0,40.720535,-73.88885,"
,  
(40.720535, -73.88885)",ELIOT AVENUE,Unknown,Unknown,0,1,0,1,0,0,0,0,Unspecified,Unknown,4456659,Bus,Unknown,Friday,July,0,2021
2022-04-24,16,BROOKLYN,11207.0,40.607685,-74.13892,"
,  
(40.607685, -74.13892)",STATEN ISLAND EXPRESSWAY,Unknown,Unknown,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4521660,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sunday,April,1,2022
2022-04-24,4,BROOKLYN,11207.0,40.855972,-73.869896,"
,  
(40.855972, -73.869896)",BOSTON ROAD,BRONX PARK EAST,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4521759,Station Wagon/Sport Utility Vehicle,Sedan,Sunday,April,1,2022
